iter	RMSE
208	2867.407467
209	2865.801918
210	2864.84806
211	2863.712332
212	2860.36189
213	2857.431354
214	2856.339185
215	2855.434049
216	2854.284823
217	2853.214025
218	2852.1868
219	2851.201482
220	2850.198497
221	2848.742137
222	2847.429643
223	2845.855839
224	2845.026896
225	2844.097804
226	2843.170643
227	2842.281189
228	2840.867714
229	2839.845124
230	2838.777988
231	2837.843208
232	2836.930646
233	2835.264406
234	2834.415104
235	2833.622977
236	2832.894085
237	2827.841619
238	2827.196662
239	2826.672264
240	2825.881131
241	2824.189243
242	2823.541616
243	2821.01955
244	2820.237242
245	2818.892986
246	2818.141508
247	2817.420352
248	2815.969299
249	2814.375897
250	2813.927824
251	2812.983192
252	2812.551894
253	2811.617068
254	2810.958974
255	2810.238427
256	2809.579306
257	2803.343044
258	2802.066449
259	2801.432321
260	2795.450334
261	2789.954884
262	2788.792632
263	2788.181806
264	2784.209109
265	2779.092801
266	2776.782378
267	2775.259664
268	2773.812814
269	2770.823146
270	2770.520105
271	2769.964053
272	2769.375338
273	2764.767112
274	2760.387198
275	2759.180317
276	2758.623909
277	2758.084652
278	2754.990258
279	2754.227401
280	2750.6867
281	2749.130358
282	2748.608532
283	2748.07825
284	2747.200366
285	2746.575522
286	2745.695178
287	2744.486387
288	2740.643124
289	2739.459698
290	2738.797059
291	2735.207973
292	2734.097783
293	2733.59144
294	2733.054353
295	2732.01191
296	2728.585873
297	2725.40369
298	2723.678444
299	2723.161377
300	2722.199478
301	2721.356513
302	2720.8597
303	2719.499996
304	2716.4944
305	2716.044503
306	2715.054946
307	2713.495121
308	2713.069541
309	2712.190846
310	2711.363592
311	2710.105914
312	2709.646401
313	2708.554612
314	2707.527302
315	2707.058073
316	2705.863225
317	2704.670578
318	2704.434565
319	2703.469242
320	2701.508877
321	2700.277217
322	2699.664146
323	2696.796113
324	2695.558157
325	2692.702905
326	2692.31613
327	2691.871098
328	2690.706182
329	2689.738395
330	2688.549275
331	2688.171983
332	2687.347991
333	2686.179205
334	2685.192788
335	2684.100658
336	2683.068378
337	2682.221763
338	2681.793049
339	2679.157551
340	2678.172491
341	2677.218825
342	2676.182664
343	2675.773607
344	2675.379756
345	2674.216039
346	2673.084984
347	2672.372618
348	2671.858086
349	2671.315885
350	2670.977597
351	2670.410655
352	2669.728804
353	2669.351551
354	2668.675361
355	2667.629329
356	2667.411036
357	2667.055487
358	2664.358387
359	2663.859902
360	2662.845407
361	2662.032498
362	2661.713733
363	2660.958956
364	2660.214619
365	2657.172606
366	2656.949385
367	2656.573771
368	2655.729236
369	2655.256944
370	2654.42268
371	2653.672446
372	2653.197355
373	2652.702694
374	2652.436235
375	2652.088244
376	2651.625888
377	2651.375943
378	2650.935281
379	2650.070627
380	2649.836776
381	2649.092255
382	2647.15035
383	2646.688637
384	2646.328638
385	2645.64793
386	2645.014446
387	2644.30657
388	2643.352254
389	2640.884523
390	2640.227509
391	2639.780311
392	2638.948556
393	2638.789684
394	2638.355638
395	2636.719764
396	2635.813034
397	2635.591476
398	2635.003174
399	2634.325523
400	2633.284199
401	2632.598832
402	2631.810065
403	2631.425477
404	2630.955986
405	2630.267535
406	2629.612495
407	2629.343051
408	2628.474117
409	2628.082965
410	2627.838801
411	2627.244847
412	2626.935487
413	2626.521438
414	2626.125244
415	2625.918603
416	2625.72762
417	2625.201352
418	2624.345436
419	2623.349095
420	2623.214709
421	2622.837536
422	2622.011356
423	2621.201041
424	2620.163597
425	2619.781096
426	2619.349429
427	2618.761812
428	2618.400472
429	2618.249012
430	2616.415395
431	2615.965698
432	2615.325518
433	2614.300589
434	2613.980888
435	2611.937312
436	2610.013522
437	2609.674404
438	2609.150407
439	2608.749341
440	2607.217536
441	2606.891906
442	2606.601348
443	2605.491145
444	2605.24097
445	2604.570837
446	2603.167932
447	2602.691514
448	2601.6804
449	2601.499837
450	2601.18666
451	2600.829045
452	2600.529075
453	2600.150171
454	2599.045669
455	2598.6674
456	2597.685844
457	2596.785669
458	2596.395676
459	2596.227605
460	2595.746373
461	2595.467458
462	2594.656906
463	2594.352614
464	2594.028203
465	2593.346941
466	2592.388354
467	2591.781943
468	2591.638955
469	2591.223213
470	2591.103831
471	2590.212576
472	2589.944581
473	2589.380184
474	2589.123714
475	2588.689486
476	2587.597114
477	2587.394785
478	2587.245881
479	2587.09487
480	2586.312858
481	2585.900705
482	2585.580091
483	2584.643563
484	2583.292512
485	2582.468715
486	2581.861712
487	2580.356396
488	2579.823391
489	2579.401934
490	2579.185878
491	2578.800884
492	2578.442002
493	2576.985272
494	2574.796936
495	2573.900623
496	2573.465333
497	2572.104702
498	2570.938638
499	2570.456875
500	2570.034946
501	2569.633916
502	2569.42556
503	2569.182602
504	2568.927436
505	2568.272973
506	2568.160694
507	2567.417075
508	2567.174572
509	2566.618883
510	2566.09816
511	2565.292933
512	2564.51499
513	2564.315027
514	2564.099583
515	2563.73078
516	2563.604638
517	2563.265384
518	2562.626444
519	2561.901469
520	2561.466325
521	2560.953812
522	2560.651529
523	2559.375602
524	2558.641599
525	2558.15741
526	2557.493857
527	2557.093567
528	2556.562929
529	2556.261304
530	2555.671503
531	2554.983583
532	2554.682935
533	2554.458692
534	2554.24836
535	2553.803048
536	2553.412529
537	2552.224119
538	2551.943823
539	2551.537103
540	2551.412347
541	2551.044105
542	2550.916555
543	2549.437923
544	2549.094848
545	2548.97601
546	2548.651677
547	2548.509093
548	2548.326196
549	2547.68161
550	2547.434462
551	2547.115321
552	2546.592329
553	2545.976126
554	2544.628433
555	2544.429162
556	2544.130425
557	2544.018973
558	2543.401203
559	2543.210875
560	2542.998868
561	2542.551904
562	2542.232093
563	2541.88341
564	2541.782626
565	2541.241481
566	2540.99337
567	2540.309622
568	2539.913265
569	2537.953595
570	2537.755582
571	2537.241868
572	2536.819722
573	2536.470873
574	2536.155383
575	2536.030639
576	2535.637088
577	2535.01681
578	2534.912451
579	2534.729071
580	2534.13748
581	2533.799003
582	2533.474289
583	2533.298661
584	2533.075124
585	2532.976911
586	2532.486868
587	2531.603329
588	2531.32446
589	2531.156361
590	2530.626585
591	2528.97884
592	2528.55845
593	2528.371291
594	2528.060084
595	2527.145082
596	2526.792888
597	2526.439845
598	2525.86163
599	2525.361665
600	2525.141155
601	2524.922515
602	2524.409359
603	2523.973811
604	2523.639202
605	2523.56026
606	2523.372134
607	2523.173284
608	2522.933423
609	2522.686142
610	2522.523829
611	2522.211282
612	2521.612218
613	2521.377742
614	2521.127911
615	2519.914635
616	2519.841018
617	2519.489641
618	2518.924587
619	2518.659019
620	2518.502868
621	2518.198084
622	2517.901955
623	2517.663311
624	2517.202431
625	2516.914552
626	2516.44485
627	2516.295219
628	2515.832333
629	2514.721623
630	2514.521331
631	2514.321397
632	2514.03911
633	2513.29847
634	2512.797172
635	2512.34484
636	2512.25514
637	2511.885828
638	2511.518271
639	2510.965387
640	2510.571687
641	2509.914365
642	2508.942035
643	2508.515751
644	2508.301445
645	2508.092303
646	2507.371549
647	2506.741711
648	2504.984398
649	2504.840371
650	2504.769911
651	2504.631597
652	2504.436325
653	2504.084171
654	2503.881782
655	2503.434022
656	2503.041549
657	2501.872032
658	2501.772724
659	2501.516407
660	2500.687791
661	2500.479155
662	2499.811927
663	2499.480996
664	2498.15557
665	2498.022608
666	2497.534767
667	2497.166854
668	2496.987741
669	2496.214941
670	2496.087489
671	2495.846498
672	2495.438753
673	2495.064697
674	2494.689801
675	2493.906792
676	2493.84801
677	2493.4673
678	2493.107878
679	2491.452352
680	2491.204075
681	2491.085904
682	2490.881994
683	2490.255957
684	2489.112107
685	2489.027787
686	2488.182706
687	2487.306045
688	2486.888098
689	2486.362718
690	2486.282804
691	2486.084433
692	2485.319791
693	2485.140466
694	2484.531002
695	2484.335606
696	2484.008511
697	2483.494258
698	2483.137735
699	2482.728646
700	2482.497135
701	2481.994166
702	2481.822587
703	2480.672024
704	2480.21628
705	2479.652721
706	2479.469962
707	2479.301607
708	2478.809877
709	2477.706989
710	2477.653702
711	2477.213767
712	2476.966084
713	2476.550521
714	2476.009909
715	2475.957234
716	2475.672983
717	2475.145674
718	2473.682917
719	2473.428821
720	2473.062345
721	2472.897378
722	2472.677562
723	2472.217065
724	2471.900124
725	2471.63808
726	2471.056199
727	2470.544993
728	2470.388837
729	2469.874612
730	2469.558956
731	2469.118968
732	2469.001268
733	2468.600967
734	2468.121616
735	2467.907186
736	2467.582868
737	2467.484732
738	2467.275189
739	2466.815612
740	2466.665105
741	2466.276125
742	2465.480887
743	2465.161882
744	2464.713756
745	2464.475182
746	2464.047421
747	2463.898972
748	2463.707147
749	2463.539088
750	2463.397528
751	2462.647611
752	2462.415339
753	2462.078733
754	2461.75943
755	2461.08555
756	2460.311175
757	2460.196026
758	2459.916242
759	2459.688926
760	2459.493054
761	2458.763574
762	2458.430258
763	2457.761785
764	2457.373722
765	2456.946493
766	2456.275522
767	2456.181362
768	2455.971203
769	2455.697649
770	2455.303762
771	2455.178579
772	2454.966498
773	2454.589963
774	2454.032528
775	2453.903173
776	2453.533898
777	2453.162681
778	2452.945582
779	2452.643259
780	2452.486686
781	2452.114513
782	2451.416571
783	2450.964479
784	2449.213433
785	2449.063965
786	2448.954534
787	2447.985349
788	2447.553942
789	2446.812627
790	2446.686016
791	2446.535066
792	2446.373387
793	2446.113023
794	2445.861882
795	2445.806881
796	2445.453517
797	2444.823412
798	2444.561966
799	2444.15262
800	2443.911685
801	2443.845043
802	2443.797598
803	2443.25129
804	2443.08522
805	2443.021782
806	2442.721586
807	2442.47599
808	2441.161524
809	2440.801823
810	2440.610088
811	2440.304647
812	2440.196995
813	2439.916915
814	2439.824265
815	2439.645537
816	2439.482345
817	2439.278633
818	2439.037023
819	2438.924053
820	2438.877239
821	2438.45258
822	2438.284885
823	2437.905497
824	2437.666403
825	2437.490733
826	2437.139932
827	2436.87672
828	2436.557792
829	2436.247595
830	2435.963833
831	2435.868619
832	2435.79169
833	2435.636967
834	2435.176829
835	2434.996449
836	2434.273783
837	2433.969591
838	2433.562215
839	2433.349917
840	2433.178101
841	2432.813728
842	2432.354762
843	2432.163174
844	2431.669261
845	2431.557117
846	2431.426551
847	2430.913491
848	2430.52619
849	2430.445934
850	2430.125221
851	2430.001617
852	2429.692078
853	2429.388395
854	2429.089294
855	2428.949184
856	2428.368728
857	2427.935433
858	2427.806263
859	2426.617089
860	2426.195927
861	2425.938291
862	2425.851971
863	2425.188348
864	2424.73107
865	2423.981867
866	2423.708982
867	2423.461662
868	2423.206201
869	2422.783897
870	2421.555401
871	2421.322292
872	2421.168958
873	2421.092368
874	2420.916105
875	2420.655097
876	2420.298033
877	2419.618373
878	2419.372224
879	2418.179274
880	2417.635902
881	2417.394122
882	2417.225361
883	2416.020209
884	2415.897335
885	2415.835802
886	2415.704227
887	2415.584379
888	2415.257782
889	2415.038037
890	2414.68396
891	2414.525536
892	2414.234512
893	2414.100194
894	2413.97953
895	2413.855727
896	2413.61414
897	2412.920706
898	2412.565158
899	2412.151479
900	2412.051587
901	2411.857518
902	2411.659283
903	2411.310245
904	2411.025813
905	2410.808597
906	2410.553915
907	2410.148347
908	2409.864228
909	2409.46018
910	2409.32328
911	2408.648611
912	2408.258339
913	2407.969086
914	2407.800817
915	2407.759712
916	2407.632131
917	2407.472424
918	2407.167544
919	2407.051538
920	2406.777265
921	2406.554664
922	2406.449271
923	2406.246429
924	2406.052504
925	2405.902102
926	2405.548595
927	2405.475988
928	2405.371679
929	2405.3462
930	2405.105663
931	2404.950167
932	2404.722511
933	2404.529674
934	2404.268635
935	2404.058036
936	2403.497408
937	2403.218002
938	2403.09075
939	2402.687583
940	2402.509144
941	2402.421067
942	2402.090501
943	2402.019251
944	2401.818352
945	2401.159888
946	2400.937262
947	2400.643806
948	2400.06951
949	2399.753685
950	2399.538482
951	2398.895875
952	2398.675865
953	2398.557202
954	2398.248708
955	2398.101291
956	2397.979898
957	2397.950841
958	2397.395902
959	2397.248323
960	2397.11592
961	2396.928204
962	2396.239547
963	2396.082453
964	2395.455015
965	2394.843277
966	2394.715651
967	2394.22827
968	2393.635012
969	2393.395037
970	2393.026186
971	2392.636599
972	2392.470818
973	2392.114286
974	2391.764104
975	2391.749795
976	2391.719932
977	2391.388653
978	2391.26054
979	2391.023736
980	2390.843105
981	2390.632899
982	2390.460189
983	2389.950299
984	2389.44955
985	2389.305776
986	2389.212785
987	2388.907989
988	2388.490813
989	2388.118843
990	2387.818494
991	2387.370652
992	2387.272146
993	2386.696477
994	2386.51789
995	2386.149196
996	2385.610768
997	2385.371593
998	2385.072649
999	2384.931164
